hour,spam_percent
0,0.0736780644455
0.5,0.0723915478812
1,0.0732389561658
1.5,0.0722084367246
2,0.0702454281429
2.5,0.0614630467572
3,0.0655372977783
3.5,0.0656324159671
4,0.0650203188496
4.5,0.0751650165017
5,0.0699383983573
5.5,0.0704015388314
6,0.0844550986539
6.5,0.0845004668534
7,0.106060606061
7.5,0.113886761327
8,0.12846458425
8.5,0.123246492986
9,0.118956963194
9.5,0.127237067909
10,0.131882890142
10.5,0.126849894292
11,0.12643457383
11.5,0.130778129873
12,0.108056460369
12.5,0.124478778036
13,0.106027736887
13.5,0.132831208961
14,0.121033048807
14.5,0.0900283372903
15,0.096905766526
15.5,0.0856639506717
16,0.0917126685766
16.5,0.0902732240437
17,0.100468505986
17.5,0.0813725490196
18,0.0771797377911
18.5,0.0782409850484
19,0.0729417347388
19.5,0.0700931379263
20,0.0767422334173
20.5,0.0674506965804
21,0.0746612856731
21.5,0.0820802464608
22,0.0859446841621
22.5,0.0801751976541
23,0.0736633069804
23.5,0.0796420581655